ID_Funsales;Producto;Propiedad_1;Valor_1;Propiedad_2;Valor_2;SKU_real
1376299287;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Rojo + S;Amorfo Irregular Anoia - Color;Dorado;1376299287|1405837047|
1405837047;Amorfo Irregular Anoia - Color;Amorfo Irregular Anoia - Color;Dorado;nan;nan;NO_ENCONTRADO
1376299301;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Rojo + M;Amorfo Irregular Anoia - Color;Plateado;1376299301|1405837041|
1405837041;Amorfo Irregular Anoia - Color;Amorfo Irregular Anoia - Color;Plateado;nan;nan;NO_ENCONTRADO
1376299308;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Rojo + L;Amorfo Irregular Anoia - Color;Plateado;1376299308|1405837041|
1376299316;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Rojo + XL;Amorfo Irregular Anoia - Color;Plateado;1376299316|1405837041|
1376299323;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Plata + S;Amorfo Irregular Anoia - Color;Plateado;1376299323|1405837041|
1376299329;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Plata + M;Amorfo Irregular Anoia - Color;Plateado;1376299329|1405837041|
1376299332;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Plata + L;Amorfo Irregular Anoia - Color;Plateado;1376299332|1405837041|
1376299335;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Plata + XL;Amorfo Irregular Anoia - Color;Plateado;1376299335|1405837041|
1376299342;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Marrón Metalizado + S;Amorfo Irregular Anoia - Color;Plateado;1376299342|1405837041|
1376299349;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Marrón Metalizado + M;Amorfo Irregular Anoia - Color;Plateado;1376299349|1405837041|
1376299355;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Marrón Metalizado + L;Amorfo Irregular Anoia - Color;Plateado;1376299355|1405837041|
1376299364;Corpiño Anoia;Corpiño Fun Liso 2 - Color + Talle;Marrón Metalizado + XL;Amorfo Irregular Anoia - Color;Plateado;1376299364|1405837041|
